Outcome,ATE,SE,Critical_Gamma
Depression,0.18222279711786632,0.0023104588829764364,>3.0
Multimorbidity (≥2 conditions),0.04020378494397322,0.00249778381648952,>3.0
Poor/fair general health,0.07945864647063067,0.0021769643208471396,>3.0
