Outcome,OR,p0,RR,E_value,E_value_CI
Depression,2.689183549257308,0.16208205982173038,2.1111731580404425,3.642799400042718,3.6335112806575056
Multimorbidity (≥2 conditions),1.1951525108023482,0.30337557327241693,1.1283491576375448,1.5089048879896343,1.4958839468272758
Poor/fair general health,1.6096991058176229,0.17147297341202977,1.4573388226137436,2.273731878245324,2.264466382784476
