Effect,Estimate,SE,CI_lo,CI_hi,p_value,Unit
Total Effect,4.318321440083417,0.2353749107800196,3.836272618429848,4.738505792418703,3.516439086287612e-75,pp
Natural Direct Effect (NDE),2.025055600307557,0.23424137522908522,1.5468606124509823,2.4448721056114664,5.3727077353613674e-18,pp
Natural Indirect Effect (NIE),2.29326583977586,0.055174601561355126,2.186038371343137,2.3990776981564252,0.0,pp
Proportion Mediated,53.10549183507657,3.0664220983047503,47.99226460698755,59.75881540606846,3.4179097732041845e-67,%
